file,topic
Data/NMF/Result_timestamp/China_pre2018_result_umass.csv,41
Data/NMF/Result_timestamp/China_2018_result_umass.csv,43
Data/NMF/Result_timestamp/China_2019_result_umass.csv,41
Data/NMF/Result_timestamp/China_2020_result_umass.csv,40
Data/NMF/Result_timestamp/China_2021_result_umass.csv,96
Data/NMF/Result_timestamp/France_pre2018_result_umass.csv,44
Data/NMF/Result_timestamp/France_2018_result_umass.csv,45
Data/NMF/Result_timestamp/France_2019_result_umass.csv,41
Data/NMF/Result_timestamp/France_2020_result_umass.csv,41
Data/NMF/Result_timestamp/France_2021_result_umass.csv,46
Data/NMF/Result_timestamp/Germany_pre2018_result_umass.csv,47
Data/NMF/Result_timestamp/Germany_2018_result_umass.csv,41
Data/NMF/Result_timestamp/Germany_2019_result_umass.csv,44
Data/NMF/Result_timestamp/Germany_2020_result_umass.csv,41
Data/NMF/Result_timestamp/Germany_2021_result_umass.csv,42
Data/NMF/Result_timestamp/Japan_pre2018_result_umass.csv,40
Data/NMF/Result_timestamp/Japan_2018_result_umass.csv,40
Data/NMF/Result_timestamp/Japan_2019_result_umass.csv,43
Data/NMF/Result_timestamp/Japan_2020_result_umass.csv,43
Data/NMF/Result_timestamp/Japan_2021_result_umass.csv,98
Data/NMF/Result_timestamp/Korea_pre2018_result_umass.csv,41
Data/NMF/Result_timestamp/Korea_2018_result_umass.csv,46
Data/NMF/Result_timestamp/Korea_2019_result_umass.csv,40
Data/NMF/Result_timestamp/Korea_2020_result_umass.csv,40
Data/NMF/Result_timestamp/Korea_2021_result_umass.csv,97
Data/NMF/Result_timestamp/Vietnam_pre2018_result_umass.csv,41
Data/NMF/Result_timestamp/Vietnam_2018_result_umass.csv,43
Data/NMF/Result_timestamp/Vietnam_2019_result_umass.csv,43
Data/NMF/Result_timestamp/Vietnam_2020_result_umass.csv,46
Data/NMF/Result_timestamp/Vietnam_2021_result_umass.csv,84
