file,topic
Data/Result_timestamp/China_pre2018_50_result_umass.csv,95
Data/Result_timestamp/China_2018_50_result_umass.csv,98
Data/Result_timestamp/China_2019_50_result_umass.csv,90
Data/Result_timestamp/China_2020_50_result_umass.csv,40
Data/Result_timestamp/China_2021_50_result_umass.csv,78
Data/Result_timestamp/France_pre2018_50_result_umass.csv,81
Data/Result_timestamp/France_2018_50_result_umass.csv,81
Data/Result_timestamp/France_2019_50_result_umass.csv,83
Data/Result_timestamp/France_2020_50_result_umass.csv,100
Data/Result_timestamp/France_2021_50_result_umass.csv,85
Data/Result_timestamp/Germany_pre2018_50_result_umass.csv,82
Data/Result_timestamp/Germany_2018_50_result_umass.csv,100
Data/Result_timestamp/Germany_2019_50_result_umass.csv,87
Data/Result_timestamp/Germany_2020_50_result_umass.csv,40
Data/Result_timestamp/Germany_2021_50_result_umass.csv,84
Data/Result_timestamp/Japan_pre2018_50_result_umass.csv,86
Data/Result_timestamp/Japan_2018_50_result_umass.csv,94
Data/Result_timestamp/Japan_2019_50_result_umass.csv,90
Data/Result_timestamp/Japan_2020_50_result_umass.csv,40
Data/Result_timestamp/Japan_2021_50_result_umass.csv,77
Data/Result_timestamp/Korea_pre2018_50_result_umass.csv,91
Data/Result_timestamp/Korea_2018_50_result_umass.csv,90
Data/Result_timestamp/Korea_2019_50_result_umass.csv,93
Data/Result_timestamp/Korea_2020_50_result_umass.csv,100
Data/Result_timestamp/Korea_2021_50_result_umass.csv,75
Data/Result_timestamp/Vietnam_pre2018_50_result_umass.csv,90
Data/Result_timestamp/Vietnam_2018_50_result_umass.csv,95
Data/Result_timestamp/Vietnam_2019_50_result_umass.csv,98
Data/Result_timestamp/Vietnam_2020_50_result_umass.csv,100
Data/Result_timestamp/Vietnam_2021_50_result_umass.csv,67
